index,value_raw,value_centered
417,5883,5883
418,5702,5702
419,5538,5538
420,5379,5379
421,5379,5379
422,5186,5186
423,5024,5024
424,4825,4825
425,4646,4646
426,4646,4646
427,4473,4473
428,4275,4275
429,4087,4087
430,3899,3899
431,3899,3899
432,3703,3703
433,3520,3520
434,3310,3310
435,3126,3126
436,3126,3126
437,2955,2955
438,2747,2747
439,2583,2583
440,2399,2399
441,2431,2431
442,2215,2215
443,2057,2057
444,1876,1876
445,1712,1712
446,1712,1712
447,1558,1558
448,1404,1404
449,1271,1271
450,1120,1120
451,1120,1120
452,989,989
453,873,873
454,756,756
455,636,636
456,636,636
457,528,528
458,432,432
459,340,340
460,260,260
461,260,260
462,217,217
463,138,138
464,88,88
465,57,57
466,57,57
467,4,4
468,-3,-3
469,-14,-14
470,-35,-35
471,-35,-35
472,-6,-6
473,3,3
474,26,26
475,69,69
476,113,113
477,121,121
478,142,142
479,214,214
480,291,291
481,359,359
482,359,359
483,478,478
484,563,563
485,672,672
486,780,780
487,780,780
488,879,879
489,1031,1031
490,1155,1155
491,1281,1281
492,1281,1281
493,1459,1459
494,1611,1611
495,1774,1774
496,1947,1947
497,1947,1947
498,2086,2086
499,2278,2278
500,2448,2448
501,2625,2625
502,2625,2625
503,2820,2820
504,2988,2988
505,3180,3180
506,3387,3387
507,3387,3387
508,3551,3551
509,3763,3763
510,3948,3948
511,4142,4142
512,4142,4142
513,4345,4345
514,4520,4520
515,4713,4713
516,4891,4891
517,4891,4891
518,5061,5061
519,5252,5252
520,5414,5414
521,5592,5592
522,5592,5592
523,5757,5757
524,5906,5906
525,6072,6072
526,6219,6219
527,6219,6219
528,6374,6374
529,6503,6503
530,6628,6628
531,6749,6749
532,6749,6749
533,6869,6869
534,6975,6975
535,7076,7076
536,7156,7156
537,7164,7164
538,7243,7243
539,7321,7321
540,7375,7375
541,7445,7445
542,7445,7445
543,7472,7472
544,7518,7518
545,7548,7548
546,7556,7556
547,7556,7556
548,7587,7587
549,7558,7558
550,7552,7552
551,7557,7557
552,7565,7565
553,7496,7496
554,7465,7465
555,7404,7404
556,7339,7339
557,7339,7339
558,7299,7299
559,7207,7207
560,7126,7126
561,7042,7042
562,7042,7042
563,6912,6912
564,6828,6828
565,6696,6696
566,6583,6583
567,6583,6583
568,6455,6455
569,6291,6291
570,6159,6159
571,6021,6021
572,6021,6021
573,5850,5850
574,5693,5693
575,5516,5516
576,5336,5336
577,5336,5336
578,5188,5188
579,4985,4985
580,4814,4814
581,4642,4642
582,4642,4642
583,4439,4439
584,4259,4259
585,4062,4062
586,3872,3872
587,3872,3872
588,3690,3690
589,3478,3478
590,3302,3302
591,3115,3115
592,3115,3115
593,2911,2911
594,2743,2743
595,2553,2553
596,2382,2382
597,2382,2382
598,2201,2201
599,2025,2025
600,1860,1860
601,1706,1706
602,1706,1706
603,1541,1541
604,1406,1406
605,1243,1243
606,1115,1115
607,1115,1115
608,971,971
609,845,845
610,737,737
611,611,611
612,611,611
613,518,518
614,422,422
615,343,343
616,269,269
617,269,269
618,182,182
619,124,124
620,88,88
621,41,41
622,41,41
623,37,37
624,-7,-7
625,-31,-31
626,-29,-29
627,-29,-29
628,-25,-25
629,-5,-5
630,9,9
631,14,14
632,65,65
633,65,65
634,115,115
635,159,159
636,230,230
637,280,280
638,280,280
639,379,379
640,475,475
641,558,558
642,689,689
643,689,689
644,786,786
645,910,910
646,1039,1039
647,1152,1152
648,1152,1152
649,1314,1314
650,1472,1472
651,1600,1600
652,1791,1791
653,1791,1791
654,1937,1937
655,2117,2117
656,2298,2298
657,2455,2455
658,2455,2455
659,2657,2657
660,2836,2836
661,2997,2997
662,3211,3211
663,3211,3211
664,3389,3389
665,3579,3579
666,3791,3791
667,3958,3958
668,3958,3958
669,4166,4166
670,4353,4353
671,4534,4534
672,4731,4731
673,4731,4731
674,4911,4911
675,5089,5089
676,5272,5272
677,5437,5437
678,5437,5437
679,5614,5614
680,5769,5769
681,5929,5929
682,6092,6092
683,6092,6092
684,6235,6235
685,6376,6376
686,6517,6517
687,6645,6645
688,6645,6645
689,6762,6762
690,6876,6876
691,6998,6998
692,7080,7080
693,7080,7080
694,7154,7154
695,7236,7236
696,7323,7323
697,7397,7397
698,7397,7397
699,7459,7459
700,7479,7479
701,7515,7515
702,7534,7534
703,7534,7534
704,7541,7541
705,7568,7568
706,7567,7567
707,7565,7565
708,7565,7565
709,7533,7533
710,7491,7491
711,7469,7469
712,7391,7391
713,7391,7391
714,7333,7333
715,7276,7276
716,7197,7197
717,7152,7152
718,7160,7160
719,7048,7048
720,6939,6939
721,6829,6829
722,6699,6699
723,6699,6699
724,6570,6570
725,6441,6441
726,6286,6286
727,6161,6161
728,6161,6161
729,6003,6003
730,5839,5839
731,5698,5698
732,5499,5499
733,5499,5499
734,5335,5335
735,5159,5159
736,4973,4973
737,4827,4827
738,4827,4827
739,4641,4641
740,4456,4456
741,4300,4300
742,4104,4104
743,4104,4104
744,3905,3905
745,3611,3611
746,3336,3336
747,3183,3183
748,3183,3183
749,3083,3083
750,2914,2914
751,2813,2813
752,2680,2680
753,2680,2680
754,2408,2408
755,2177,2177
756,1950,1950
757,1748,1748
758,1748,1748
759,1616,1616
760,1492,1492
761,1402,1402
762,1301,1301
763,1301,1301
764,1163,1163
765,995,995
766,836,836
767,710,710
768,710,710
769,586,586
770,495,495
771,423,423
772,325,325
773,333,333
774,264,264
775,191,191
776,137,137
777,77,77
778,77,77
779,38,38
780,26,26
781,-10,-10
782,-10,-10
783,-10,-10
784,-25,-25
785,-26,-26
786,15,15
787,22,22
788,65,65
789,65,65
790,116,116
791,175,175
792,212,212
793,311,311
794,311,311
795,388,388
796,494,494
797,598,598
798,672,672
799,672,672
800,797,797
801,933,933
802,1040,1040
803,1194,1194
804,1194,1194
805,1331,1331
806,1485,1485
807,1645,1645
808,1789,1789
809,1789,1789
810,1966,1966
811,2132,2132
812,2288,2288
813,2500,2500
814,2500,2500
815,2664,2664
816,2841,2841
817,3041,3041
818,3214,3214
819,3214,3214
820,3414,3414
821,3606,3606
822,3782,3782
823,3985,3985
824,3985,3985
825,4177,4177
826,4373,4373
827,4565,4565
828,4738,4738
829,4738,4738
830,4917,4917
831,5106,5106
832,5273,5273
833,5459,5459
834,5459,5459
835,5637,5637
836,5793,5793
837,5945,5945
838,6092,6092
839,6092,6092
840,6258,6258
841,6386,6386
842,6524,6524
843,6655,6655
844,6655,6655
845,6761,6761
846,6892,6892
847,6998,6998
848,7093,7093
849,7093,7093
850,7174,7174
851,7255,7255
852,7340,7340
853,7387,7387
854,7387,7387
855,7442,7442
856,7475,7475
857,7508,7508
858,7554,7554
859,7554,7554
860,7566,7566
861,7561,7561
862,7572,7572
863,7547,7547
864,7547,7547
865,7532,7532
866,7500,7500
867,7453,7453
868,7416,7416
869,7416,7416
870,7348,7348
871,7272,7272
872,7210,7210
873,7102,7102
874,7102,7102
875,7011,7011
876,6922,6922
877,6790,6790
878,6694,6694
879,6694,6694
880,6569,6569
881,6410,6410
882,6296,6296
883,6128,6128
884,6128,6128
885,5991,5991
886,5837,5837
887,5646,5646
888,5511,5511
889,5511,5511
890,5329,5329
891,5145,5145
892,4984,4984
893,4780,4780
894,4780,4780
895,4603,4603
896,4422,4422
897,4230,4230
898,4054,4054
899,4054,4054
900,3846,3846
901,3647,3647
902,3463,3463
903,3267,3267
904,3267,3267
905,3079,3079
906,2890,2890
907,2704,2704
908,2544,2544
909,2544,2544
910,2352,2352
911,2176,2176
912,1991,1991
913,1823,1823
914,1823,1823
915,1669,1669
916,1518,1518
917,1375,1375
918,1238,1238
919,1246,1246
920,1085,1085
921,957,957
922,826,826
923,715,715
924,715,715
925,603,603
926,494,494
927,418,418
928,325,325
929,325,325
930,254,254
931,192,192
932,122,122
933,83,83
934,83,83
935,45,45
936,11,11
937,1,1
938,-35,-35
939,-35,-35
940,-17,-17
941,3,3
942,34,34
943,89,89
944,122,122
945,183,183
946,237,237
947,237,237
948,314,314
949,407,407
950,478,478
951,593,593
952,593,593
953,695,695
954,812,812
955,942,942
956,1047,1047
957,1047,1047
958,1202,1202
959,1349,1349
960,1477,1477
961,1655,1655
962,1663,1663
963,1823,1823
964,1981,1981
965,2156,2156
966,2303,2303
967,2303,2303
968,2508,2508
969,2686,2686
970,2847,2847
971,3052,3052
972,3052,3052
973,3237,3237
974,3434,3434
975,3633,3633
976,3807,3807
977,3807,3807
978,4012,4012
979,4198,4198
980,4386,4386
981,4576,4576
982,4576,4576
983,4757,4757
984,4949,4949
985,5126,5126
986,5294,5294
987,5294,5294
988,5481,5481
989,5642,5642
990,5802,5802
991,5965,5965
992,5965,5965
993,6123,6123
994,6272,6272
995,6407,6407
996,6537,6537
997,6537,6537
998,6670,6670
999,6780,6780
1000,6889,6889
1001,6999,6999
1002,6999,6999
1003,7103,7103
1004,7191,7191
1005,7256,7256
1006,7335,7335
1007,7335,7335
1008,7400,7400
1009,7438,7438
